time,solution
0.0,1.0
0.42016806722689076,1.7252783506542408
0.8403361344537815,2.7904048763588207
1.2605042016806722,4.263303468383562
1.680672268907563,6.19476530567094
2.100840336134454,8.611620309803305
2.5210084033613445,11.513366973195877
2.9411764705882355,14.872493281918702
3.361344537815126,18.63794569280717
3.7815126050420167,22.74073580097787
4.201680672268908,27.10053725653668
4.621848739495799,31.632251501059166
5.042016806722689,36.25179370178769
5.46218487394958,40.880663277757584
5.882352941176471,45.44914430961946
6.302521008403361,49.898191551630944
6.722689075630252,54.18018738247305
7.142857142857143,58.258817608852574
7.563025210084033,62.10832121164033
7.983193277310924,65.71234688920508
8.403361344537815,69.06260787863968
8.823529411764707,72.15748099640552
9.243697478991598,75.00065282395454
9.663865546218487,77.59987869437839
10.084033613445378,79.96588679118828
10.504201680672269,82.11144787712827
10.92436974789916,84.05060527014285
11.344537815126051,85.79805508296205
11.764705882352942,87.36866171097937
12.184873949579831,88.77709027068069
12.605042016806722,90.03753773508801
13.025210084033613,91.16354485412649
13.445378151260504,92.16787281784669
13.865546218487395,93.0624312846474
14.285714285714286,93.85824546465271
14.705882352941178,94.56545415013707
15.126050420168067,95.19332635240775
15.546218487394958,95.75029637578581
15.966386554621849,96.24400690411589
16.386554621848738,96.6813581229012
16.80672268907563,97.06856207112031
17.22689075630252,97.41119555751847
17.647058823529413,97.71425388762441
18.067226890756302,97.98220307283034
18.487394957983195,98.21902844347365
18.907563025210084,98.42828133517092
19.327731092436974,98.61312222246937
19.747899159663866,98.77636031639884
20.168067226890756,98.92049030122904
20.58823529411765,99.04772561996155
21.008403361344538,99.16002809162111
21.42857142857143,99.259136317715
21.84873949579832,99.34658918502714
22.26890756302521,99.42374903288508
22.689075630252102,99.49182050626777
23.10924369747899,99.55186902144033
23.529411764705884,99.60483602018984
23.949579831932773,99.65155354116617
24.369747899159663,99.69275650176247
24.789915966386555,99.72909391971409
25.210084033613445,99.76113892985443
25.630252100840337,99.78939736159244
26.050420168067227,99.81431589768346
26.47058823529412,99.83628839694204
26.89075630252101,99.85566274427028
27.310924369747898,99.87274565545488
27.73109243697479,99.88780792669196
28.15126050420168,99.90108821628998
28.571428571428573,99.9127972352559
28.991596638655462,99.92312064793396
29.411764705882355,99.93222237428157
29.831932773109244,99.9402468473389
30.252100840336134,99.94732155310705
30.672268907563026,99.95355879030143
31.092436974789916,99.95905769707427
31.51260504201681,99.9639055981938
31.932773109243698,99.96817957612997
32.35294117647059,99.97194752529855
32.773109243697476,99.97526937168354
33.19327731092437,99.97819788904499
33.61344537815126,99.98077966451324
34.03361344537815,99.9830557260684
34.45378151260504,99.98506228708023
34.87394957983194,99.98683123682626
35.294117647058826,99.98839072397375
35.714285714285715,99.98976553423881
36.134453781512605,99.99097754729793
36.554621848739494,99.99204602956087
36.97478991596639,99.99298798559475
37.39495798319328,99.99381839665546
37.81512605042017,99.99455049578647
38.23529411764706,99.99519588201828
38.65546218487395,99.99576479311449
39.075630252100844,99.99626630774803
39.49579831932773,99.99670845192712
39.91596638655462,99.9970982151081
40.33613445378151,99.99744182609317
40.7563025210084,99.99774480126715
41.1764705882353,99.99801188055314
41.596638655462186,99.99824734347499
42.016806722689076,99.99845491614347
42.436974789915965,99.99863788692194
42.85714285714286,99.99879922541916
43.27731092436975,99.99894141549098
43.69747899159664,99.99906678069262
44.11764705882353,99.9991773035386
44.53781512605042,99.99927472277683
44.957983193277315,99.9993606196397
45.378151260504204,99.99943638285
45.79831932773109,99.99950320894433
46.21848739495798,99.99956210121601
46.63865546218487,99.99961397045145
47.05882352941177,99.99965971288292
47.47899159663866,99.99970002038341
47.89915966386555,99.9997355153442
48.319327731092436,99.99976682348553
48.739495798319325,99.99979442831537
49.15966386554622,99.99981882226437
49.57983193277311,99.9998402269013
50.0,99.9998591477652
